NUMERO,FECHA,PROVEEDOR,NOMBRE,ENVASE,CANTIDAD,ORIGEN,DESTINO,MFL,MOVIMIENTO,FVO
0000-00000006-A,2025-01-03 05:51:15,30096.0,CUMBRE AGRARIO Y CIA,JVR ,4.0,  30096,Z19A   ,XX,entrada,2025-01-06 08:34:52
0000-00000006-A,2025-01-03 05:51:15,30096.0,CUMBRE AGRARIO Y CIA,JVR ,4.0,  30096,Z3A    ,XX,entrada,2025-01-03 09:44:52
0000-00000006-A,2025-01-03 05:51:15,31128.0,LAGO PATAGONICO E HIJOS,JVR ,40.0,  41467,Z3A    ,XX,entrada,2025-01-03 09:44:52
0000-00000006-A,2025-01-03 05:51:15,31128.0,LAGO PATAGONICO E HIJOS,JVR ,3.0,  41467,Z19A   ,XX,entrada,2025-01-06 13:33:35
0000-00000006-A,2025-01-03 05:51:15,30096.0,CUMBRE AGRARIO Y CIA,JVR ,4.0,  30096,ZJR    ,XX,entrada,2025-01-30 08:11:12
0000-00000006-A,2025-01-03 05:51:15,31128.0,LAGO PATAGONICO E HIJOS,JVR ,3.0,  41467,ZJR    ,XX,entrada,2025-03-30 00:53:29
0000-00000013-A,2025-01-03 10:49:06,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,59.0,  30051,Z3B    ,XX,entrada,2025-01-03 12:12:51
0000-00000013-A,2025-01-03 10:49:06,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,3.0,  30051,Z19A   ,XX,entrada,2025-01-03 19:44:24
0000-00000017-A,2025-01-03 16:13:33,30427.0,LADERA HORTICOLA Y CIA,JVR ,26.0,  41307,Z12A   ,XX,entrada,2025-01-03 19:44:24
0000-00000018-A,2025-01-03 18:36:14,30885.0,RINCON ORGANICO HNOS.,JVR ,10.0,  30885,Z12A   ,XX,entrada,2025-01-03 19:12:41
0000-00000018-A,2025-01-03 18:36:14,30885.0,RINCON ORGANICO HNOS.,JVR ,50.0,  30885,Z19B   ,XX,entrada,2025-01-03 19:12:41
0000-00000025-A,2025-01-04 10:49:24,30198.0,AURORA FEDERAL HNOS.,JVR ,3.0,  41029,Z3A    ,XX,entrada,2025-01-07 08:48:27
0000-00000025-A,2025-01-04 10:49:24,30198.0,AURORA FEDERAL HNOS.,JVR ,1.0,  41029,Z19B   ,XX,entrada,2025-01-06 08:34:52
0000-00000026-A,2025-01-04 11:39:17,30951.0,MIRADOR REGIONAL SAS,JVR ,7.0,  30951,ZJR    ,XX,entrada,2025-03-30 00:53:29
0000-00000033-A,2025-01-06 09:06:04,30000.0,JUGOS S.A.,JVR ,82.0,  40471,Z1A    ,XX,entrada,1899-12-30 00:00:00
0000-00000037-A,2025-01-06 09:56:42,30000.0,JUGOS S.A.,JVR ,48.0,  40471,Z1A    ,XX,entrada,1899-12-30 00:00:00
0000-00000041-A,2025-01-06 10:55:23,30000.0,JUGOS S.A.,JVR ,73.0,  40471,Z1A    ,XX,entrada,1899-12-30 00:00:00
0000-00000044-A,2025-01-06 11:14:40,30066.0,BAJO FEDERAL HNOS.,JVR ,8.0,  30066,Z3A    ,XX,entrada,2025-01-08 07:42:29
0000-00000044-A,2025-01-06 11:14:40,30066.0,BAJO FEDERAL HNOS.,JVR ,8.0,  30066,Z3B    ,XX,entrada,2025-01-08 13:08:58
0000-00000047-A,2025-01-06 16:13:07,30000.0,JUGOS S.A.,JVR ,52.0,  40471,Z1A    ,XX,entrada,1899-12-30 00:00:00
0000-00000021-A,2025-01-04 05:55:35,30000.0,JUGOS S.A.,JVR ,80.0,  40471,Z1A    ,XX,entrada,1899-12-30 00:00:00
0000-00000056-A,2025-01-07 09:41:26,30000.0,JUGOS S.A.,JVR ,19.0,  40471,Z19B   ,XX,entrada,1899-12-30 00:00:00
0000-00000057-A,2025-01-07 09:59:37,30000.0,JUGOS S.A.,JVR ,59.0,  40471,Z1A    ,XX,entrada,1899-12-30 00:00:00
0000-00000061-A,2025-01-07 11:07:45,40069.0,ALVAREZ MARCELO,JVR ,16.0,  40293,Z19B   ,XX,entrada,2025-01-08 12:26:07
0000-00000062-A,2025-01-07 11:23:56,40069.0,ALVAREZ MARCELO,JVR ,17.0,  40293,Z19B   ,XX,entrada,2025-01-08 12:26:07
0000-00000066-A,2025-01-07 15:01:30,30266.0,MANANTIAL MODERNO SRL,JVR ,3.0,  30266,Z19A   ,XX,entrada,2025-01-07 13:41:06
