NUMERO,FECHA,PROVEEDOR,NOMBRE,ENVASE,CANTIDAD,ORIGEN,DESTINO,MFL,MOVIMIENTO,FVO
0000-00000002-A,2025-01-02 06:42:29,40126.0,HERNANDEZ ARIEL SERGIO,JVR ,23.0,PJP    ,  40646,AS,salida,
0000-00000003-A,2025-01-02 11:26:22,12421.0,LUNA REAL HNOS.,JVR ,81.0,PJP    ,  41575,AC,salida,
0000-00000008-A,2025-01-03 09:27:06,12421.0,LUNA REAL HNOS.,JVR ,39.0,PJP    ,  41445,AC,salida,
0000-00000009-A,2025-01-03 09:32:01,12421.0,LUNA REAL HNOS.,JVR ,26.0,PJP    ,  41445,AC,salida,
0000-00000011-A,2025-01-03 10:21:21,30723.0,SOSA RICARDO NICOLAS,JVR ,111.0,  30723,PJP    ,EC,entrada,
0000-00000012-A,2025-01-03 10:21:53,30885.0,RINCON ORGANICO HNOS.,JVR ,89.0,PJP    ,  30885,TR,salida,
0000-00000002-A,2025-01-02 06:42:29,31328.0,MANANTIAL COMERCIAL E HIJOS,JVRE,30.0,PJP    ,  30593,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,40071.0,RUIZ,JVR ,104.0,PJP    ,  40295,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,31128.0,LAGO PATAGONICO E HIJOS,JVR ,489.0,PJP    ,  41467,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,31019.0,FLORES NESTOR AGUSTIN,JVRE,15.0,PJP    ,  35004,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,31269.0,QUIROGA JAVIER,JVR ,10.0,PJP    ,  40618,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,31269.0,QUIROGA JAVIER,JVR ,47.0,PJP    ,  40665,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,30198.0,AURORA FEDERAL HNOS.,JVR ,219.0,PJP    ,  41029,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,30051.0,LARGO FRUTICOLA E HIJOS,JVR ,124.0,PJP    ,  30051,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,31009.0,MOLINA ADRIAN DANIEL,JVR ,175.0,PJP    ,  30511,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,30796.0,PORTAL HORTICOLA HNOS.,JVR ,8.0,PJP    ,  30796,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,30913.0,LEDESMA MIGUEL,JVR ,23.0,PJP    ,  30913,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,30066.0,BAJO FEDERAL HNOS.,JVR ,140.0,PJP    ,  30066,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,20051.0,TROPICO HORTICOLA Y CIA,JVR ,8.0,PJP    ,  20051,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,31096.0,SENDERO MAYOR SAS,JVR ,40.0,PJP    ,  41300,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,31064.0,JIMENEZ ADRIAN EMILIO,JVR ,188.0,PJP    ,  30721,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,12445.0,MORALES HUGO,JVR ,38.0,PJP    ,  30402,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,30018.0,GONZALEZ RAMON FERNANDO,JVR ,40.0,PJP    ,  30018,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,30827.0,PERALTA PEDRO ALEJANDRO,JVR ,38.0,PJP    ,  30827,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,30837.0,QUIROGA HERNAN LUCAS,JVR ,72.0,PJP    ,  30837,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,31293.0,SOTO CESAR PABLO,JVR ,10.0,PJP    ,  30365,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,40081.0,ARENA AGROPECUARIO HNOS.,JVR ,154.0,PJP    ,  41083,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,30729.0,LUNA SILVESTRE S.R.L.,JVR ,4.0,PJP    ,  40730,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,30729.0,LUNA SILVESTRE S.R.L.,JVR ,19.0,PJP    ,  30729,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,31391.0,MORENO FRANCISCO ESTEBAN,JVR ,9.0,PJP    ,  41582,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,31350.0,MARTINEZ ADRIAN,JVR ,30.0,PJP    ,  30507,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,12426.0,MORALES FRANCISCO MAURICIO,JVR ,5.0,PJP    ,  30326,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,30996.0,AGUIRRE SERGIO ALBERTO,JVR ,45.0,PJP    ,  40823,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,31223.0,CASCADA FERTIL S.A.,JVR ,241.0,PJP    ,  40817,AS,salida,
0000-00000002-A,2025-01-02 06:42:29,30096.0,CUMBRE AGRARIO Y CIA,JVR ,221.0,PJP    ,  30096,AS,salida,
